PHONE_ID,PHONE_TOESTELMERK,PHONE_MODEL,PHONE_TITLE,PHONE_TITLE_DETAILS,PHONE_TILDSDUUR,PHONE_PRICE,PHONE_GARANTIE,CURRENT_LINK
1,Alcatel,Alcatel Shine Lite,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,€ 99.00,Levenslang,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
2,Alcatel,Alcatel Shine Lite,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 49.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
3,Alcatel,Alcatel Shine Lite,"Achter camera
","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 39.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
4,Alcatel,Alcatel Shine Lite,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,€ 35.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
5,Alcatel,Alcatel Shine Lite,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 35.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
6,Alcatel,Alcatel Shine Lite,"Voor camera
","Werkt de camera van uw toestel niet? Gaat camera lens niet open? Bij deze reparatie wordt de kapotte smartphone of tablet camera-unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 29.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
7,Alcatel,Idol 4,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,€ 99.00,Levenslang,https://www.doctorphone.nl/reparatie-alcatel-idol-4
8,Alcatel,Idol 4,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 49.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-4
9,Alcatel,Idol 4,"Achter camera
","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 49.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-4
10,Alcatel,Idol 4,"Voor camera
","Werkt de camera van uw toestel niet? Gaat camera lens niet open? Bij deze reparatie wordt de kapotte smartphone of tablet camera-unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 39.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-4
11,Alcatel,Idol 4,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,€ 35.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-4
12,Alcatel,Idol 5,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,€ 119.00,Levenslang,https://www.doctorphone.nl/reparatie-alcatel-idol-5
13,Alcatel,Idol 5,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 49.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-5
14,Alcatel,Idol 5,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,€ 35.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-5
15,Alcatel,Idol 5,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 35.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-idol-5
16,Alcatel,Pixi 4 5e gen,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,€ 49.00,Levenslang,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
17,Alcatel,Pixi 4 5e gen,"Touchscreen glas vervangen
",Het touchscreen is de glasplaat met daaronder tegenaan de digitizer. Deze dient vervangen te worden wanneer het glas gebroken is en/of het scherm niet meer reageert op aanraking.,1 uur alleen op afspraak,€ 49.00,Levenslang,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
18,Alcatel,Pixi 4 5e gen,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 39.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
19,Alcatel,Pixi 4 5e gen,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,€ 25.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
20,Alcatel,Pixi 4 5e gen,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,€ 25.00,3 maanden,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
